index,n_cells
0610007C21Rik,1023
0610007L01Rik,918
0610007P14Rik,924
0610007P22Rik,639
0610009B22Rik,763
0610009D07Rik,1182
0610010K14Rik,1059
0610011F06Rik,814
0610012G03Rik,1125
0610030E20Rik,627
0610031J06Rik,940
0610037L13Rik,888
0610037P05Rik,807
0910001L09Rik,1155
1110001A16Rik,990
1110001J03Rik,1006
1110002B05Rik,1107
1110003E01Rik,1145
1110004E09Rik,851
1110004F10Rik,1133
1110005A03Rik,966
1110007C09Rik,836
1110008F13Rik,1175
1110008P14Rik,1033
1110014N23Rik,619
1110038B12Rik,1003
1110038F14Rik,758
1110049F12Rik,807
1110058L19Rik,780
1110059E24Rik,663
1110059G10Rik,604
1110065P20Rik,713
1110067D22Rik,610
1190002H23Rik,664
1190003J15Rik,625
1190007I07Rik,613
1300001I01Rik,761
1300002E11Rik,635
1500003O03Rik,1046
1500011K16Rik,1080
1500012F01Rik,1118
1500032L24Rik,1196
1600002K03Rik,708
1600012F09Rik,659
1700011J10Rik,623
1700020I14Rik,796
1700021F05Rik,665
1700025G04Rik,833
1700037H04Rik,683
1700081L11Rik,697
1700123O20Rik,958
1810006K21Rik,1180
1810008A18Rik,793
1810009A15Rik,1044
1810011O10Rik,674
1810012P15Rik,615
1810013D10Rik,791
1810013L24Rik,663
1810020D17Rik,646
1810022K09Rik,1089
1810026B05Rik,789
1810027O10Rik,1184
1810030N24Rik,662
1810031K17Rik,776
1810035L17Rik,1170
1810037I17Rik,1195
1810043H04Rik,1091
1810046J19Rik,1147
1810058I24Rik,1133
1810063B05Rik,742
2010003O02Rik,810
2010011I20Rik,680
2010012O05Rik,821
2010106G01Rik,707
2010107E04Rik,1194
2010107H07Rik,757
2010109K11Rik,602
2200002D01Rik,702
2210013O21Rik,891
2210016F16Rik,859
2210016L21Rik,730
2210021J22Rik,679
2210403K04Rik,738
2210411K11Rik,1048
2310003C23Rik,800
2310003F16Rik,1189
2310004N24Rik,995
2310008H09Rik,957
2310009A05Rik,858
2310009B15Rik,870
2310011J03Rik,898
2310016M24Rik,1185
2310033P09Rik,675
2310035C23Rik,615
2310036O22Rik,1188
2310039H08Rik,937
2310044H10Rik,1140
2310045N01Rik,888
2310047M10Rik,610
2310061C15Rik,715
2400001E08Rik,1111
2400003C14Rik,954
2410001C21Rik,988
2410002O22Rik,765
2410003K15Rik,846
2410004B18Rik,681
2410004N09Rik,812
2410006H16Rik,1150
2410015M20Rik,1190
2410017P09Rik,790
2410042D21Rik,638
2410127L17Rik,914
2500003M10Rik,1108
2510002D24Rik,830
2510006D16Rik,1121
2510039O18Rik,791
2610001J05Rik,1095
2610002J02Rik,840
2610027L16Rik,602
2610029G23Rik,910
2610101N10Rik,986
2610507B11Rik,866
2700029M09Rik,888
2700060E02Rik,1191
2700078E11Rik,638
2700089E24Rik,970
2700094K13Rik,1059
2810002N01Rik,859
2810004N23Rik,808
2810008M24Rik,860
2810021B07Rik,852
2810025M15Rik,616
2810405K02Rik,625
2810407C02Rik,1140
2810422J05Rik,1032
2810428I15Rik,1126
2810432D09Rik,751
2810453I06Rik,792
2810474O19Rik,823
2900010M23Rik,1185
2900053A13Rik,1109
2900064A13Rik,1128
2900092E17Rik,703
2900097C17Rik,1049
3110001D03Rik,905
3110003A17Rik,1147
3110040N11Rik,686
3200002M19Rik,729
3230401D17Rik,985
3830406C13Rik,757
4732418C07Rik,754
4833439L19Rik,957
4921524J17Rik,669
4930453N24Rik,603
4930523C07Rik,869
4930526I15Rik,702
4932438A13Rik,672
4933407C03Rik,987
4933426M11Rik,696
4933433P14Rik,678
4933434E20Rik,844
4933439F18Rik,674
5033414D02Rik,904
5133401N09Rik,808
5430437P03Rik,1014
5730437N04Rik,880
5730469M10Rik,651
5730494N06Rik,689
5730508B09Rik,648
5730559C18Rik,599
6330578E17Rik,764
6430527G18Rik,684
6720456B07Rik,1179
6820431F20Rik,884
9130011J15Rik,1122
9130401M01Rik,803
9430016H08Rik,675
9430023L20Rik,901
9530068E07Rik,969
9930021J03Rik,615
A430005L14Rik,654
A730098P11Rik,716
AI314180,651
AI314976,769
AI316807,788
AI413582,877
AI462493,1108
AI661453,665
AI837181,623
AI848100,788
AW555464,777
Aamp,1159
Aars,691
Aarsd1,885
Aasdhppt,741
Abcd3,926
Abce1,942
Abcf1,1097
Abcf2,919
Abhd11,830
Abhd12,865
Abhd14b,641
Abhd16a,934
Abhd5,764
Abi1,1042
Ablim1,769
Abt1,673
Acaa1a,1091
Acaa2,1054
Acad9,773
Acadl,1054
Acadm,923
Acads,692
Acadvl,959
Acap2,808
Acat1,993
Acbd3,812
Acbd5,683
Acbd6,1122
Acd,631
Acer3,632
Acin1,1075
Acly,939
Aco2,1090
Acot1,721
Acot13,891
Acot7,888
Acot8,692
Acot9,742
Acox1,780
Acp1,1095
Acp5,600
Acsl1,752
Acsl3,764
Acsl5,1056
Actb,1196
Actg1,1196
Actl6a,843
Actn4,1173
Actr10,979
Actr1a,975
Actr1b,680
Actr2,1145
Actr3,1174
Acyp1,799
Adam10,908
Adam15,682
Add1,915
Add3,705
Adh5,865
Adipor1,1166
Adipor2,863
Adk,722
Adnp,679
Adprh,794
Adrb2,627
Adrbk1,918
Adrm1,1130
Adsl,748
Adss,1051
Aebp2,885
Aen,755
Aes,1191
Aff4,918
Afg3l1,882
Afg3l2,737
Aftph,872
Agap3,650
Agfg1,710
Aggf1,776
Agpat3,765
Agpat5,723
Agpat6,790
Agps,652
Ahctf1,607
Ahcy,804
Ahcyl1,774
Ahcyl2,667
Ahnak,986
Ahr,666
Ahsa1,1045
Aim1,641
Aimp1,1129
Aimp2,742
Aip,794
Ak2,1103
Ak3,906
Akap13,895
Akap8,666
Akap9,1032
Akirin1,1015
Akirin2,1031
Akr1a1,1196
Akr7a5,907
Akt1,915
Akt1s1,934
Akt2,794
Aktip,702
Alad,689
Alas1,753
Alcam,660
Aldh2,945
Aldh3a1,667
Aldh9a1,771
Aldoa,1195
Alg5,806
Alkbh5,937
Alkbh6,694
Alkbh7,609
Alyref,1084
Amfr,1037
Ammecr1l,722
Anapc10,634
Anapc11,1131
Anapc13,1192
Anapc16,953
Anapc2,774
Anapc5,1128
Anapc7,668
Angel2,670
Ank,615
Ank3,700
Ankhd1,763
Ankrd11,970
Ankrd12,931
Ankrd13a,930
Ankrd17,965
Ano6,682
Anp32a,1158
Anp32b,1178
Anp32e,1046
Anxa1,1059
Anxa11,924
Anxa2,1114
Anxa3,658
Anxa4,880
Anxa5,1032
Anxa7,1128
Anxa8,687
Ap1b1,830
Ap1g1,750
Ap1s1,1017
Ap2a1,747
Ap2a2,736
Ap2b1,875
Ap2m1,1175
Ap2s1,1152
Ap3b1,834
Ap3d1,659
Ap3m1,613
Ap3s1,937
Ap3s2,664
Ap4s1,803
Apc,690
Apex1,888
Aph1a,1037
Api5,940
Aplp2,1023
Apoa1bp,1030
Apoc1,623
Apoe,888
Apoo,732
App,1011
Appbp2,630
Appl1,726
Aprt,1145
Aqp3,809
Aqr,634
Araf,751
Arap2,752
Arcn1,950
Areg,667
Arf1,1196
Arf3,1017
Arf4,1181
Arf5,1195
Arf6,1179
Arfgap2,819
Arfgef1,922
Arfip1,670
Arfip2,743
Arfrp1,863
Arglu1,1005
Arhgap1,779
Arhgap32,637
Arhgap5,808
Arhgdia,1186
Arhgef1,766
Arhgef12,807
Arhgef5,678
Arid1a,1028
Arid1b,716
Arid2,664
Arid4a,685
Arid4b,918
Arid5b,805
Arih1,924
Arih2,710
Arl13b,622
Arl2,826
Arl2bp,981
Arl3,802
Arl4a,854
Arl5a,670
Arl6ip1,1174
Arl6ip4,982
Arl6ip5,1001
Arl6ip6,674
Arl8a,692
Arl8b,1047
Armc1,782
Armc10,631
Arpc1a,1163
Arpc1b,946
Arpc2,1196
Arpc3,1192
Arpc4,1148
Arpc5,1188
Arpc5l,1148
Arpp19,1190
Arrdc1,640
Arrdc4,604
Asah1,797
Asap1,603
Ascc1,783
Ascc3,683
Asf1a,765
Ash1l,1001
Ash2l,697
Asna1,994
Asns,675
Asnsd1,935
Aspscr1,772
Asxl2,688
Atad1,811
Atad3a,749
Atf1,895
Atf2,610
Atf3,870
Atf4,1182
Atf5,639
Atf6b,817
Atg12,727
Atg3,1016
Atg4b,735
Atg4d,696
Atg5,773
Atic,625
Atl2,665
Atox1,1196
Atp11a,645
Atp11b,824
Atp13a1,607
Atp13a3,841
Atp1a1,1132
Atp1b3,1129
Atp2a2,1086
Atp2b1,1031
Atp2c1,655
Atp5a1,1196
Atp5b,1196
Atp5c1,1194
Atp5d,1196
Atp5e,1196
Atp5f1,1193
Atp5g1,1195
Atp5g2,1196
Atp5g3,1193
Atp5h,1196
Atp5j,1196
Atp5j2,1196
Atp5k,1175
Atp5l,1196
Atp5o,1193
Atp6ap1,1050
Atp6ap2,1099
Atp6v0a1,619
Atp6v0b,1174
Atp6v0d1,1076
Atp6v0e,1193
Atp6v1a,1047
Atp6v1b2,932
Atp6v1c1,889
Atp6v1d,1094
Atp6v1e1,1136
Atp6v1f,1192
Atp6v1g1,1190
Atp6v1h,746
Atpaf2,637
Atpif1,1194
Atrx,998
Atxn10,1078
Atxn2,645
Atxn2l,881
Atxn7,692
Atxn7l3b,1144
Aup1,1020
Aurkaip1,1163
Avpi1,919
Azi2,801
Azin1,972
B230120H23Rik,740
B230208H17Rik,930
B230219D22Rik,941
B230312A22Rik,639
B2m,1143
B3gat3,608
B3gnt2,935
B4galt1,770
B4galt3,668
BC002163,694
BC003266,762
BC003331,603
BC003965,887
BC004004,985
BC005561,773
BC005624,902
BC013529,758
BC017612,736
BC031181,1154
BC031781,983
BC056474,1139
Bach1,615
Bad,994
Bag1,1189
Bag2,694
Bag3,858
Bag5,683
Bag6,965
Baiap2,940
Bak1,748
Banf1,1144
Bax,1152
Baz1a,1022
Baz1b,800
Baz2a,862
Baz2b,770
Bbip1,703
Bbx,693
Bcam,666
Bcap29,623
Bcap31,1159
Bcas2,1169
Bcat2,753
Bccip,1036
Bckdha,745
Bckdk,906
Bcl10,1044
Bcl2l1,642
Bcl2l13,726
Bcl3,646
Bcl7b,779
Bcl7c,1019
Bclaf1,1031
Bdp1,735
Becn1,1071
Bet1,923
Bet1l,729
Bhlhe40,785
Bicd2,809
Bin3,784
Birc6,875
Blmh,988
Bloc1s1,1157
Bloc1s2,992
Blvra,625
Blvrb,945
Bmpr1a,634
Bmyc,639
Bnip2,997
Bnip3l,1139
Bod1,907
Bod1l,838
Bok,644
Bola1,904
Bola2,1157
Bola3,1110
Bop1,728
Bpgm,615
Bphl,729
Bptf,965
Brap,623
Brcc3,817
Brd1,737
Brd2,1138
Brd3,867
Brd4,1031
Brd7,854
Brd8,691
Bre,693
Bri3,1167
Bri3bp,660
Brix1,835
Brms1,800
Brox,672
Brp44,1179
Brp44l,1148
Brwd1,797
Bscl2,970
Bsdc1,643
Bsg,1195
Bspry,641
Bst2,632
Btaf1,716
Btbd1,1033
Btbd10,616
Btbd2,605
Btf3,1195
Btf3l4,1046
Btg1,1170
Btg2,1104
Bub3,997
Bud31,1101
Bysl,612
Bzw1,1153
Bzw2,900
C030046I01Rik,1149
C130022K22Rik,629
C1d,1025
C1qbp,1132
C330006A16Rik,715
C330007P06Rik,599
C77080,688
C80913,743
Cab39,1066
Cab39l,850
Cacybp,1098
Calm1,1196
Calm2,1190
Calm3,1077
Calr,1195
Calu,890
Camta1,705
Cand1,789
Canx,1188
Capg,1059
Capn1,907
Capn2,676
Capns1,1121
Caprin1,1101
Capza1,1055
Capza2,1148
Capzb,1193
Carhsp1,710
Carkd,1005
Casc3,643
Casp8,663
Cast,941
Casz1,821
Cat,817
Cbfb,910
Cbr1,874
Cbx1,713
Cbx3,1007
Cbx4,785
Cbx5,704
Ccar1,975
Ccbl1,660
Ccdc101,629
Ccdc104,723
Ccdc107,770
Ccdc115,784
Ccdc12,1176
Ccdc124,1097
Ccdc127,661
Ccdc23,974
Ccdc25,773
Ccdc34,786
Ccdc47,906
Ccdc50,766
Ccdc53,927
Ccdc55,852
Ccdc56,1155
Ccdc58,783
Ccdc59,916
Ccdc6,727
Ccdc72,1195
Ccdc85b,904
Ccdc86,730
Ccdc90a,716
Ccdc90b,610
Ccm2,610
Ccnd1,631
Ccnd2,715
Ccnd3,895
Ccndbp1,705
Ccng1,740
Ccnh,628
Ccni,993
Ccnk,614
Ccnl1,1145
Ccnl2,950
Ccny,746
Ccpg1,633
Ccrn4l,828
Ccs,819
Cct2,1171
Cct3,1130
Cct4,1177
Cct5,1187
Cct6a,626
Cct7,1167
Cct8,1137
Ccz1,902
Cd151,872
Cd164,1114
Cd24a,1140
Cd2ap,865
Cd2bp2,705
Cd3eap,726
Cd44,1012
Cd47,1069
Cd63,1021
Cd74,721
Cd81,1117
Cd82,886
Cd9,1053
Cdc123,978
Cdc16,752
Cdc26,1000
Cdc27,639
Cdc34,965
Cdc37,1170
Cdc37l1,600
Cdc40,614
Cdc42,1196
Cdc42bpb,607
Cdc42ep3,807
Cdc42ep4,779
Cdc42ep5,755
Cdc42se1,1053
Cdc5l,899
Cdca4,727
Cdh1,835
Cdipt,947
Cdk11b,905
Cdk12,896
Cdk13,700
Cdk16,843
Cdk2ap1,963
Cdk2ap2,1161
Cdk4,1127
Cdk5rap3,743
Cdk8,619
Cdk9,930
Cdkn1a,928
Cdkn2aipnl,692
Cds1,647
Cdv3,1149
Cebpa,890
Cebpb,1068
Cebpd,764
Cebpg,983
Cebpz,977
Celf1,915
Celf2,629
Celsr2,647
Cenpb,921
Cep164,734
Cept1,843
Cetn2,921
Cetn3,1125
Cfdp1,1137
Cfl1,1196
Cfl2,907
Cflar,609
Cggbp1,1053
Chchd1,1126
Chchd10,1066
Chchd2,1196
Chchd3,1099
Chchd4,796
Chchd5,758
Chchd6,682
Chchd7,969
Chd1,905
Chd2,705
Chd3,642
Chd4,1150
Chd6,628
Chd7,606
Chd8,650
Chd9,625
Chic2,1061
Chka,830
Chmp1a,1053
Chmp1b,886
Chmp2a,1180
Chmp2b,1059
Chmp3,1088
Chmp4b,1183
Chmp5,1105
Chmp6,834
Chordc1,703
Chrac1,940
Chtf8,881
Chuk,601
Churc1,1145
Ciapin1,758
Cib1,1084
Cic,626
Cinp,658
Cir1,755
Cirbp,952
Cirh1a,627
Cisd1,1123
Cisd2,1076
Cisd3,660
Cish,675
Cited2,871
Ckap4,923
Ckap5,619
Ckmt1,709
Cks1b,709
Cks2,885
Clasp1,641
Clcc1,687
Clcn3,821
Clcn4-2,886
Cldn25,1065
Cldn4,767
Clic1,1185
Clic4,779
Clint1,1080
Clip1,877
Clk1,1046
Clk3,821
Clk4,755
Cln5,662
Cln8,653
Clns1a,982
Clpb,691
Clpp,962
Clptm1,1009
Clptm1l,1083
Clpx,845
Clta,1196
Cltb,1034
Cltc,1095
Clu,666
Cmas,955
Cmc1,965
Cmpk1,1161
Cmtm6,855
Cnbp,1196
Cndp2,823
Cnih,1089
Cnih4,1103
Cnn2,889
Cnn3,739
Cno,785
Cnot1,881
Cnot2,784
Cnot3,687
Cnot4,928
Cnot6,647
Cnot6l,645
Cnot8,638
Cnpy2,1146
Cnpy3,632
Coasy,638
Cobra1,845
Col4a3bp,599
Commd1,1095
Commd10,620
Commd2,810
Commd3,1064
Commd4,959
Commd6,1047
Commd7,921
Commd8,857
Commd9,684
Comt,1135
Copa,1038
Copb1,997
Copb2,1007
Cope,1145
Copg,830
Cops2,976
Cops3,885
Cops4,1032
Cops5,1008
Cops6,1112
Cops7a,1048
Cops8,1008
Copz1,1074
Coq10b,879
Coq2,960
Coq7,860
Coq9,722
Coro1b,1028
Coro1c,969
Cotl1,867
Cox16,992
Cox17,1187
Cox19,831
Cox4i1,1196
Cox4nb,932
Cox5a,1195
Cox5b,1194
Cox6a1,1196
Cox6b1,1195
Cox6c,1196
Cox7a2,1196
Cox7a2l,1194
Cox7b,1195
Cox7c,1196
Cox8a,1196
Cpd,655
Cpeb2,707
Cpne1,602
Cpne3,883
Cpox,689
Cpsf2,723
Cpsf3l,734
Cpsf6,878
Cpt1a,773
Cr1l,798
Crb3,776
Crcp,652
Creb1,648
Creb3,623
Crebbp,703
Creg1,987
Creld2,834
Crip1,1158
Crip2,960
Cript,1121
Crk,923
Crot,682
Cryzl1,608
Cs,1117
Csda,1140
Csde1,1183
Cse1l,710
Csk,842
Csnk1a1,1185
Csnk1d,1037
Csnk1e,731
Csnk1g2,866
Csnk1g3,657
Csnk2a1,1158
Csnk2b,1139
Csrnp1,839
Csrp1,1113
Csrp2,787
Cst3,1187
Cstb,1178
Cstf3,711
Ctage5,1013
Ctbp1,1141
Ctbp2,906
Ctcf,936
Ctdnep1,893
